target_family,source_or_model,temperature_C,species_or_property,metric,threshold,actual_value,passes,claim_allowed,failure_reason,recommended_manuscript_use
pressure,neutral_epcsaft_parity,120,CO2_pressure,median_abs_log10_error,pass if AAD_percent <= 50 OR median_abs_log10_error <= 0.25,0.0784225154364816,true,true,,retained baseline pressure comparison
pressure,neutral_epcsaft_parity,120,CO2_pressure,RMSE_log10,reported; no independent pass threshold,0.14770033325608736,true,true,,retained baseline pressure comparison
pressure,neutral_epcsaft_parity,120,CO2_pressure,max_abs_log10_error,reported; no independent pass threshold,0.2869942173550362,true,true,,retained baseline pressure comparison
pressure,legacy_pcsaft_smith_missen,overall,CO2_pressure,AAD_percent,pass if AAD_percent <= 50 OR median_abs_log10_error <= 0.25,68.97016211492797,true,true,,retained baseline pressure comparison
pressure,legacy_pcsaft_smith_missen,overall,CO2_pressure,median_abs_log10_error,pass if AAD_percent <= 50 OR median_abs_log10_error <= 0.25,0.1600734139464454,true,true,,retained baseline pressure comparison
pressure,legacy_pcsaft_smith_missen,overall,CO2_pressure,RMSE_log10,reported; no independent pass threshold,0.297391508659797,true,true,,retained baseline pressure comparison
pressure,legacy_pcsaft_smith_missen,overall,CO2_pressure,max_abs_log10_error,reported; no independent pass threshold,0.7947721708172915,true,true,,retained baseline pressure comparison
pressure,neutral_epcsaft_parity,overall,CO2_pressure,AAD_percent,pass if AAD_percent <= 50 OR median_abs_log10_error <= 0.25,68.97014207068584,true,true,,retained baseline pressure comparison
pressure,neutral_epcsaft_parity,overall,CO2_pressure,median_abs_log10_error,pass if AAD_percent <= 50 OR median_abs_log10_error <= 0.25,0.1600734127619548,true,true,,retained baseline pressure comparison
pressure,neutral_epcsaft_parity,overall,CO2_pressure,RMSE_log10,reported; no independent pass threshold,0.2973914712125262,true,true,,retained baseline pressure comparison
pressure,neutral_epcsaft_parity,overall,CO2_pressure,max_abs_log10_error,reported; no independent pass threshold,0.7947717402588347,true,true,,retained baseline pressure comparison
speciation,retained_six_species_apparent_solver,20.0,CO2,median_abs_log10_error,median_abs_log10_error <= 0.50 AND mae_log10 <= 0.75,12.352251491461622,false,false,trace or unsupported species is diagnostic only,diagnostic only; do not cite as validated speciation reproduction
speciation,retained_six_species_apparent_solver,20.0,CO2,mae_log10,median_abs_log10_error <= 0.50 AND mae_log10 <= 0.75,12.252372392234873,false,false,trace or unsupported species is diagnostic only,diagnostic only; do not cite as validated speciation reproduction
speciation,retained_six_species_apparent_solver,20.0,CO2,RMSE_log10,reported; no independent pass threshold,12.26002941883893,false,false,trace or unsupported species is diagnostic only,diagnostic only; do not cite as validated speciation reproduction
speciation,retained_six_species_apparent_solver,20.0,CO3^2-,median_abs_log10_error,median_abs_log10_error <= 0.50 AND mae_log10 <= 0.75,26.928666248215634,false,false,trace or unsupported species is diagnostic only,diagnostic only; do not cite as validated speciation reproduction
speciation,retained_six_species_apparent_solver,20.0,CO3^2-,mae_log10,median_abs_log10_error <= 0.50 AND mae_log10 <= 0.75,26.845031091359704,false,false,trace or unsupported species is diagnostic only,diagnostic only; do not cite as validated speciation reproduction
speciation,retained_six_species_apparent_solver,20.0,CO3^2-,RMSE_log10,reported; no independent pass threshold,26.84774735576995,false,false,trace or unsupported species is diagnostic only,diagnostic only; do not cite as validated speciation reproduction
speciation,retained_six_species_apparent_solver,20.0,HCO3-,median_abs_log10_error,median_abs_log10_error <= 0.50 AND mae_log10 <= 0.75,4.1208704544142805,false,false,speciation residual gate failed,diagnostic only; do not cite as validated speciation reproduction
speciation,retained_six_species_apparent_solver,20.0,HCO3-,mae_log10,median_abs_log10_error <= 0.50 AND mae_log10 <= 0.75,4.144602059410674,false,false,speciation residual gate failed,diagnostic only; do not cite as validated speciation reproduction
speciation,retained_six_species_apparent_solver,20.0,HCO3-,RMSE_log10,reported; no independent pass threshold,4.208602068428737,false,false,speciation residual gate failed,diagnostic only; do not cite as validated speciation reproduction
speciation,retained_six_species_apparent_solver,20.0,MEA,median_abs_log10_error,median_abs_log10_error <= 0.50 AND mae_log10 <= 0.75,0.37723422800725875,true,true,,major-species retained baseline comparison
speciation,retained_six_species_apparent_solver,20.0,MEA,mae_log10,median_abs_log10_error <= 0.50 AND mae_log10 <= 0.75,0.6437362103348484,true,true,,major-species retained baseline comparison
speciation,retained_six_species_apparent_solver,20.0,MEA,RMSE_log10,reported; no independent pass threshold,0.9296351539391388,true,true,,major-species retained baseline comparison
speciation,retained_six_species_apparent_solver,20.0,MEA + MEAH+,median_abs_log10_error,median_abs_log10_error <= 0.50 AND mae_log10 <= 0.75,0.14836520293813857,true,true,,major-species retained baseline comparison
speciation,retained_six_species_apparent_solver,20.0,MEA + MEAH+,mae_log10,median_abs_log10_error <= 0.50 AND mae_log10 <= 0.75,0.14956544081995027,true,true,,major-species retained baseline comparison
speciation,retained_six_species_apparent_solver,20.0,MEA + MEAH+,RMSE_log10,reported; no independent pass threshold,0.16702299193600265,true,true,,major-species retained baseline comparison
speciation,retained_six_species_apparent_solver,20.0,MEACOO-,median_abs_log10_error,median_abs_log10_error <= 0.50 AND mae_log10 <= 0.75,2.1366858958782813,false,false,speciation residual gate failed,diagnostic only; do not cite as validated speciation reproduction
speciation,retained_six_species_apparent_solver,20.0,MEACOO-,mae_log10,median_abs_log10_error <= 0.50 AND mae_log10 <= 0.75,2.0810491916798677,false,false,speciation residual gate failed,diagnostic only; do not cite as validated speciation reproduction
speciation,retained_six_species_apparent_solver,20.0,MEACOO-,RMSE_log10,reported; no independent pass threshold,2.092542888370215,false,false,speciation residual gate failed,diagnostic only; do not cite as validated speciation reproduction
speciation,retained_six_species_apparent_solver,20.0,MEAH+,median_abs_log10_error,median_abs_log10_error <= 0.50 AND mae_log10 <= 0.75,2.1633714768932255,false,false,speciation residual gate failed,diagnostic only; do not cite as validated speciation reproduction
speciation,retained_six_species_apparent_solver,20.0,MEAH+,mae_log10,median_abs_log10_error <= 0.50 AND mae_log10 <= 0.75,2.1342247896130417,false,false,speciation residual gate failed,diagnostic only; do not cite as validated speciation reproduction
speciation,retained_six_species_apparent_solver,20.0,MEAH+,RMSE_log10,reported; no independent pass threshold,2.1478019661902277,false,false,speciation residual gate failed,diagnostic only; do not cite as validated speciation reproduction
speciation,retained_six_species_apparent_solver,40.0,CO2,median_abs_log10_error,median_abs_log10_error <= 0.50 AND mae_log10 <= 0.75,0.316673064762551,true,false,trace or unsupported species is diagnostic only,diagnostic only; do not cite as validated speciation reproduction
speciation,retained_six_species_apparent_solver,40.0,CO2,mae_log10,median_abs_log10_error <= 0.50 AND mae_log10 <= 0.75,0.316673064762551,true,false,trace or unsupported species is diagnostic only,diagnostic only; do not cite as validated speciation reproduction
speciation,retained_six_species_apparent_solver,40.0,CO2,RMSE_log10,reported; no independent pass threshold,0.3541804621158098,true,false,trace or unsupported species is diagnostic only,diagnostic only; do not cite as validated speciation reproduction
speciation,retained_six_species_apparent_solver,40.0,CO3^2-,median_abs_log10_error,median_abs_log10_error <= 0.50 AND mae_log10 <= 0.75,26.954242509439325,false,false,trace or unsupported species is diagnostic only,diagnostic only; do not cite as validated speciation reproduction
speciation,retained_six_species_apparent_solver,40.0,CO3^2-,mae_log10,median_abs_log10_error <= 0.50 AND mae_log10 <= 0.75,26.823170181356474,false,false,trace or unsupported species is diagnostic only,diagnostic only; do not cite as validated speciation reproduction
speciation,retained_six_species_apparent_solver,40.0,CO3^2-,RMSE_log10,reported; no independent pass threshold,26.826102508551024,false,false,trace or unsupported species is diagnostic only,diagnostic only; do not cite as validated speciation reproduction
speciation,retained_six_species_apparent_solver,40.0,HCO3-,median_abs_log10_error,median_abs_log10_error <= 0.50 AND mae_log10 <= 0.75,0.238560359650913,false,false,speciation residual gate failed,diagnostic only; do not cite as validated speciation reproduction
speciation,retained_six_species_apparent_solver,40.0,HCO3-,mae_log10,median_abs_log10_error <= 0.50 AND mae_log10 <= 0.75,8.972135876693798,false,false,speciation residual gate failed,diagnostic only; do not cite as validated speciation reproduction
speciation,retained_six_species_apparent_solver,40.0,HCO3-,RMSE_log10,reported; no independent pass threshold,15.28494128861529,false,false,speciation residual gate failed,diagnostic only; do not cite as validated speciation reproduction
speciation,retained_six_species_apparent_solver,40.0,MEA,median_abs_log10_error,median_abs_log10_error <= 0.50 AND mae_log10 <= 0.75,0.14183406674364446,true,true,,major-species retained baseline comparison
speciation,retained_six_species_apparent_solver,40.0,MEA,mae_log10,median_abs_log10_error <= 0.50 AND mae_log10 <= 0.75,0.4586690513563977,true,true,,major-species retained baseline comparison
speciation,retained_six_species_apparent_solver,40.0,MEA,RMSE_log10,reported; no independent pass threshold,0.7524614586671281,true,true,,major-species retained baseline comparison
speciation,retained_six_species_apparent_solver,40.0,MEA + MEAH+,median_abs_log10_error,median_abs_log10_error <= 0.50 AND mae_log10 <= 0.75,0.019143987912126195,true,true,,major-species retained baseline comparison
speciation,retained_six_species_apparent_solver,40.0,MEA + MEAH+,mae_log10,median_abs_log10_error <= 0.50 AND mae_log10 <= 0.75,0.027214290786451798,true,true,,major-species retained baseline comparison
speciation,retained_six_species_apparent_solver,40.0,MEA + MEAH+,RMSE_log10,reported; no independent pass threshold,0.03702292195392352,true,true,,major-species retained baseline comparison
speciation,retained_six_species_apparent_solver,40.0,MEACOO-,median_abs_log10_error,median_abs_log10_error <= 0.50 AND mae_log10 <= 0.75,0.02828371158000642,true,true,,major-species retained baseline comparison
speciation,retained_six_species_apparent_solver,40.0,MEACOO-,mae_log10,median_abs_log10_error <= 0.50 AND mae_log10 <= 0.75,0.07958118713340619,true,true,,major-species retained baseline comparison
speciation,retained_six_species_apparent_solver,40.0,MEACOO-,RMSE_log10,reported; no independent pass threshold,0.17444989339078157,true,true,,major-species retained baseline comparison
speciation,retained_six_species_apparent_solver,40.0,MEAH+,median_abs_log10_error,median_abs_log10_error <= 0.50 AND mae_log10 <= 0.75,0.10455592598159194,true,true,,major-species retained baseline comparison
speciation,retained_six_species_apparent_solver,40.0,MEAH+,mae_log10,median_abs_log10_error <= 0.50 AND mae_log10 <= 0.75,0.11893483831914535,true,true,,major-species retained baseline comparison
speciation,retained_six_species_apparent_solver,40.0,MEAH+,RMSE_log10,reported; no independent pass threshold,0.14176007124917167,true,true,,major-species retained baseline comparison
speciation,retained_six_species_apparent_solver,overall,CO2,median_abs_log10_error,median_abs_log10_error <= 0.50 AND mae_log10 <= 0.75,11.870357577788845,false,false,trace or unsupported species is diagnostic only,diagnostic only; do not cite as validated speciation reproduction
speciation,retained_six_species_apparent_solver,overall,CO2,mae_log10,median_abs_log10_error <= 0.50 AND mae_log10 <= 0.75,8.2738059497441,false,false,trace or unsupported species is diagnostic only,diagnostic only; do not cite as validated speciation reproduction
speciation,retained_six_species_apparent_solver,overall,CO2,RMSE_log10,reported; no independent pass threshold,10.01236046929555,false,false,trace or unsupported species is diagnostic only,diagnostic only; do not cite as validated speciation reproduction
speciation,retained_six_species_apparent_solver,overall,CO3^2-,median_abs_log10_error,median_abs_log10_error <= 0.50 AND mae_log10 <= 0.75,26.954242509439325,false,false,trace or unsupported species is diagnostic only,diagnostic only; do not cite as validated speciation reproduction
speciation,retained_six_species_apparent_solver,overall,CO3^2-,mae_log10,median_abs_log10_error <= 0.50 AND mae_log10 <= 0.75,26.834100636358087,false,false,trace or unsupported species is diagnostic only,diagnostic only; do not cite as validated speciation reproduction
speciation,retained_six_species_apparent_solver,overall,CO3^2-,RMSE_log10,reported; no independent pass threshold,26.83692711431899,false,false,trace or unsupported species is diagnostic only,diagnostic only; do not cite as validated speciation reproduction
speciation,retained_six_species_apparent_solver,overall,HCO3-,median_abs_log10_error,median_abs_log10_error <= 0.50 AND mae_log10 <= 0.75,3.904474858492761,false,false,speciation residual gate failed,diagnostic only; do not cite as validated speciation reproduction
speciation,retained_six_species_apparent_solver,overall,HCO3-,mae_log10,median_abs_log10_error <= 0.50 AND mae_log10 <= 0.75,6.057398477579459,false,false,speciation residual gate failed,diagnostic only; do not cite as validated speciation reproduction
speciation,retained_six_species_apparent_solver,overall,HCO3-,RMSE_log10,reported; no independent pass threshold,10.161908747661153,false,false,speciation residual gate failed,diagnostic only; do not cite as validated speciation reproduction
speciation,retained_six_species_apparent_solver,overall,MEA,median_abs_log10_error,median_abs_log10_error <= 0.50 AND mae_log10 <= 0.75,0.334077310977109,true,true,,major-species retained baseline comparison
speciation,retained_six_species_apparent_solver,overall,MEA,mae_log10,median_abs_log10_error <= 0.50 AND mae_log10 <= 0.75,0.6014351454254883,true,true,,major-species retained baseline comparison
speciation,retained_six_species_apparent_solver,overall,MEA,RMSE_log10,reported; no independent pass threshold,0.892245433868967,true,true,,major-species retained baseline comparison
speciation,retained_six_species_apparent_solver,overall,MEA + MEAH+,median_abs_log10_error,median_abs_log10_error <= 0.50 AND mae_log10 <= 0.75,0.09483198462850165,true,true,,major-species retained baseline comparison
speciation,retained_six_species_apparent_solver,overall,MEA + MEAH+,mae_log10,median_abs_log10_error <= 0.50 AND mae_log10 <= 0.75,0.10674253830822582,true,true,,major-species retained baseline comparison
speciation,retained_six_species_apparent_solver,overall,MEA + MEAH+,RMSE_log10,reported; no independent pass threshold,0.13642795078508402,true,true,,major-species retained baseline comparison
speciation,retained_six_species_apparent_solver,overall,MEACOO-,median_abs_log10_error,median_abs_log10_error <= 0.50 AND mae_log10 <= 0.75,1.9218667487127639,false,false,speciation residual gate failed,diagnostic only; do not cite as validated speciation reproduction
speciation,retained_six_species_apparent_solver,overall,MEACOO-,mae_log10,median_abs_log10_error <= 0.50 AND mae_log10 <= 0.75,1.380535390088606,false,false,speciation residual gate failed,diagnostic only; do not cite as validated speciation reproduction
speciation,retained_six_species_apparent_solver,overall,MEACOO-,RMSE_log10,reported; no independent pass threshold,1.690215873384555,false,false,speciation residual gate failed,diagnostic only; do not cite as validated speciation reproduction
speciation,retained_six_species_apparent_solver,overall,MEAH+,median_abs_log10_error,median_abs_log10_error <= 0.50 AND mae_log10 <= 0.75,2.0379898085974717,false,false,speciation residual gate failed,diagnostic only; do not cite as validated speciation reproduction
speciation,retained_six_species_apparent_solver,overall,MEAH+,mae_log10,median_abs_log10_error <= 0.50 AND mae_log10 <= 0.75,1.6735870864601512,false,false,speciation residual gate failed,diagnostic only; do not cite as validated speciation reproduction
speciation,retained_six_species_apparent_solver,overall,MEAH+,RMSE_log10,reported; no independent pass threshold,1.8876531617223316,false,false,speciation residual gate failed,diagnostic only; do not cite as validated speciation reproduction
speciation,retained_six_species_apparent_solver,overall,H3O+,not_evaluated,not directly supported by retained reduced apparent solver,,false,false,unsupported explicit-ion species in retained reduced apparent solver,diagnostic only; do not cite as validated speciation reproduction
speciation,retained_six_species_apparent_solver,overall,OH-,not_evaluated,not directly supported by retained reduced apparent solver,,false,false,unsupported explicit-ion species in retained reduced apparent solver,diagnostic only; do not cite as validated speciation reproduction
